topico,mensagem
ze,to
Corona,Tu tens Corona?
Beep Boop,Boas mano robo
Peco Desculpa,O que e que posso dizer eu curto de spam o que e que se ha de fazer
Treguas,Sacrifica a tua alma ao santananas e teras o teu email sem spam
Kona,google.com/search?q=hyundai+kona&tbm=isch&ved=2ahUKEwjkl6SkqonoAhVB0IUKHSyvB4wQ2-cCegQIABAA&oq=hyundai+kona&gs_l=img.3..0i67j0l2j0i67j0l6.5076.7968..8160...0.0..0.153.999.11j1......0....1..gws-wiz-img.W0QPt1s2Xtw&ei=NBVkXuStAcGglwSs3p7gCA&bih=966&biw=1920&client=firefox-b-d#imgrc=05errrCmn3lW5M
Cs,Cs e para gays
Ajuda,Necessito de mais emails
Insta,Segue-me no insta @conanosiris
Anda la,Ainda nao me segues no insta? Entao vai la e segue @conanosiris
Foda-se,Estive demasiado tempo para fazer isto e so tenho 3 emails
cagalhoum,vai comer um cagalhao    eat a cagalhons    manger a cagalhum
Es Gay,https://pt.pornhub.com/view_video.php?viewkey=ph5d6405998abbb
HIDRATATA-TE,JA BEBES-TE AGUA HOJE CARALHO???
Um videozinho gostoso para veres,https://www.youtube.com/watch?v=6Joyj0dmkug&list=PLeOkNToI6rwBAjv_e6yrtcqhxmavI1w03&index=2
